Sent date,DD,Category name,Main vs REM,Subject,Sendings,OR clean %,length of subject,Personalization,Emoji,Urgency,Tone,Price or Discount,imperative ,product,Month,letter_count
2024-11-01,Wednesday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,333,0.2342,0,0,0,0,0,1,0,1,11,25
2024-08-02,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,246,0.2927,0,0,0,0,0,0,0,1,8,42
2024-12-07,Thursday,NL Final,MAIN,Mystisk försäljning: Vad är din hemliga rabatt? &#x1f92b;,8985,0.1028,0,0,1,0,1,0,0,0,12,36
2024-12-02,Saturday,NL Final,MAIN,Otroligt! Upp till 84% rabatt + 25% MER den 2 december &#x1f92f;,8934,0.1085,1,0,1,1,1,1,0,0,12,35
2024-02-01,Wednesday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,3285,0.0365,0,0,0,0,0,1,0,1,2,25
2024-12-09,Saturday,NL Final,REM,"En hemlig erbjudande bara för dig, skynda! &#x1f381;",72429,0.1033,0,0,1,0,1,0,1,0,12,33
2024-02-01,Wednesday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,2358,0.0318,0,0,1,0,1,1,0,0,2,26
2024-12-02,Saturday,NL Final,MAIN,Använd din kod 39GX32V0 &#x1f525; | Spara nu!,71787,0.1147,0,0,1,1,1,0,1,0,12,21
2024-05-17,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,288,0.0938,0,0,0,0,1,1,1,1,5,33
2024-12-07,Thursday,NL Final,MAIN,Använd din kod 39GX32V0 &#x1f525; | Spara nu!,8973,0.0883,0,0,1,1,1,0,1,0,12,21
2024-11-01,Wednesday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,339,0.2566,0,0,1,0,1,1,0,0,11,26
2024-12-07,Thursday,NL Final,MAIN,&#x1f575;&#xfe0f;&#x200d;&#x2640;&#xfe0f; Lås upp dolda rabatter: Din mystiska försäljning väntar på dig!,71775,0.0971,1,0,1,0,1,0,1,0,12,47
2024-05-01,Sunday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,4242,0.0679,0,0,1,0,1,1,0,0,5,26
2024-10-02,Sunday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,4866,0.0567,0,0,0,0,0,0,0,1,10,43
2024-08-30,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,3630,0.1587,0,0,0,1,1,1,1,1,8,28
2024-12-09,Saturday,NL Final,REM,&#x23f0; Avslöja dolda rabatter: Din mystiska rea väntar på dig!,9111,0.0902,1,0,1,0,1,0,1,0,12,42
2024-06-01,Wednesday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,5046,0.0571,0,0,0,0,0,1,0,1,6,25
2024-12-09,Saturday,NL Final,REM,"En hemlig erbjudande bara för dig, skynda! &#x1f381;",9030,0.0924,0,0,1,0,1,0,1,0,12,33
2024-07-09,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2526,0.1271,0,0,0,1,0,1,0,1,7,30
2024-04-26,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,2262,0.1711,0,0,0,1,1,1,1,1,4,28
2024-04-07,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,1314,0.0982,0,0,1,0,1,1,0,1,4,38
2024-05-03,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,2208,0.1318,0,0,0,0,1,1,1,1,5,33
2024-07-02,Sunday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,315,0.2571,0,0,0,0,0,1,0,1,7,25
2024-03-26,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,1155,0.213,0,0,0,1,0,1,0,0,3,27
2024-10-02,Sunday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,5643,0.0526,0,0,0,0,0,1,0,1,10,25
2024-04-02,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,1113,0.1968,0,0,0,1,1,1,1,1,4,24
2024-12-12,Tuesday,NL Final,MAIN,Mystisk försäljning: Vad är din hemliga rabatt? &#x1f92b;,8925,0.0948,0,0,1,0,1,0,0,0,12,36
2024-04-19,Wednesday,NL Interval,MAIN,✨ 3 Canvastavlor | 2 dagar | Upp till 54% rabatt!,2340,0.1885,0,0,1,1,1,1,0,1,4,30
2024-07-02,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2763,0.1107,0,0,0,1,0,1,0,1,7,30
2024-12-02,Saturday,NL Final,MAIN,Otroligt! Upp till 84% rabatt + 25% MER den 2 december &#x1f92f;,10014,0.0656,1,0,1,1,1,1,0,0,12,35
2024-06-07,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3144,0.1384,0,0,0,0,1,1,1,1,6,33
2024-07-03,Sunday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,3939,0.067,0,0,0,0,0,0,0,1,7,42
2024-12-12,Tuesday,NL Final,MAIN,&#x1f575;&#xfe0f;&#x200d;&#x2640;&#xfe0f; Lås upp dolda rabatter: Din mystiska försäljning väntar på dig!,8937,0.097,1,0,1,0,1,0,1,0,12,47
2024-11-25,Saturday,NL Final,REM,"Sista chansen: Priser från 30,80 kr - Erbjudandet slutar snart! &#x1f3f4;",72714,0.0941,1,0,1,1,1,1,0,0,11,45
2024-04-14,Friday,NL Interval,MAIN,2 dagar | Canvastavlor från endast 185 kr!,1263,0.1544,0,0,0,1,0,1,0,1,4,28
2024-04-05,Wednesday,NL Interval,MAIN,Skynda dig! Väggdekor från endast 39kr!,1332,0.1734,0,0,0,1,1,1,1,1,4,28
2024-12-03,Sunday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,345,0.2609,0,0,0,0,0,0,0,1,12,42
2024-07-02,Sunday,NL Interval,MAIN,Personlig väggdekoration till fantastiska priser!,279,0.2581,0,0,0,0,0,0,0,1,7,43
2024-08-04,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,3447,0.1567,0,0,0,0,0,1,0,1,8,30
2024-09-06,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,3201,0.1181,0,0,0,0,1,1,1,1,9,33
2024-08-27,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3471,0.1521,0,0,0,1,1,1,1,1,8,24
2024-04-21,Friday,NL Interval,MAIN,Upp till -63% på favorit Väggdekorationer!,2307,0.1521,0,0,0,0,0,1,0,1,4,30
2024-04-30,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,2220,0.127,0,0,0,1,1,1,1,1,4,24
2024-07-14,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,3165,0.1318,0,0,1,0,1,1,0,1,7,38
2024-11-02,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,3078,0.075,0,0,0,0,0,0,0,1,11,42
2024-07-30,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3168,0.1525,0,0,0,1,0,1,0,0,7,27
2024-09-10,Sunday,NL Interval,MAIN,3 dagar - 4 produkter - upp till 76% rabatt!,3705,0.1514,0,0,0,1,0,1,0,0,9,27
2024-03-31,Friday,NL Interval,MAIN,Upp till 58% rabatt på de mest älskade Canvastavlor! &#x1F929;,1137,0.1873,0,0,1,0,1,1,0,1,3,38
2024-09-03,Sunday,NL Interval,MAIN,Skynda dig | -54% på XXL-Canvastavla!,3570,0.1412,0,0,0,1,1,1,1,1,9,24
2024-04-12,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,1272,0.1533,0,0,0,0,1,1,1,1,4,33
2024-05-07,Sunday,NL Interval,MAIN,(72h) Upp till 65% rabatt på Väggdekorationer!,2166,0.1094,0,0,0,1,0,1,0,1,5,30
2024-12-12,Tuesday,NL Final,MAIN,&#x1f381; Ta en titt... Det här är ett Mystiskt Erbjudande bara för dig!,71403,0.0948,1,0,1,0,1,0,1,0,12,44
