Sent_Date,Day_of_week,Category_name,Main_Vs_REM,Subject,Sendings,OR,Length_Of_subject,Personalization,Emoji,Urgency,Tone,Price_or_Discount,Imperative_Tone,Product,Letter_Count,Month
2024-11-01,Wednesday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,333,0.2342,short,no,no,no,no,yes,no,yes,25,November
2024-08-02,Wednesday,NL Interval,MAIN,Dekorativ inredning för hemmet till de bästa priset,246,0.2927,short,no,no,no,no,no,no,yes,42,August
2024-12-07,Thursday,NL Final,MAIN,Mystisk försäljning: Vad är din hemliga rabatt? &#x1f92b;,8985,0.1028,short,no,yes,no,yes,no,no,no,36,December
2024-12-02,Saturday,NL Final,MAIN,Otroligt! Upp till 84% rabatt + 25% MER den 2 december &#x1f92f;,8934,0.1085,long,no,yes,yes,yes,yes,no,no,35,December
2024-02-01,Wednesday,NL Interval,MAIN,Premiumtryck upp till 78% rabatt!,3285,0.0365,short,no,no,no,no,yes,no,yes,25,February
2024-12-09,Saturday,NL Final,REM,"En hemlig erbjudande bara för dig, skynda! &#x1f381;",72429,0.1033,short,no,yes,no,yes,no,yes,no,33,December
2024-02-01,Wednesday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,2358,0.0318,short,no,yes,no,yes,yes,no,no,26,February
2024-12-02,Saturday,NL Final,MAIN,Använd din kod 39GX32V0 &#x1f525; | Spara nu!,71787,0.1147,short,no,yes,yes,yes,no,yes,no,21,December
2024-05-17,Wednesday,NL Interval,MAIN,Missa inte - Fotopresenter från endast 59 kr!,288,0.0938,short,no,no,no,yes,yes,yes,yes,33,May
2024-12-07,Thursday,NL Final,MAIN,Använd din kod 39GX32V0 &#x1f525; | Spara nu!,8973,0.0883,short,no,yes,yes,yes,no,yes,no,21,December
2024-11-01,Wednesday,NL Interval,MAIN,Otroligt ✨ 3 XXL-format för 249 kr styck,339,0.2566,short,no,yes,no,yes,yes,no,no,26,November
